State,County,Longitude,Lat,HOUSEHOLDS WITH INTERNET ACCESS (2014-2018),HYPERTIONSION DIAGNOSIS IN ADULTS (2017),HEART DISEASE DIAGNOSIS IN ADULTS (2017),DIABETES DIAGNOSIS FOR ADULTS (2017),HIGH CHOLESTEROL DIAGNOSIS IN ADULTS (2017),"CANCER INCIDENCE PER 100,000 PEOPLE (2011-2015)",DEPRESSION DIAGNOSIS RATE (2017),HIV DIAGNOSIS RATE (2016),RELIGIOUS ADHERENCE RATE (2010),VOTING AGE POPULATION TURNOUT RATE IN 2016 GENERAL ELECTION,PERCENTAGE VOTE FOR A DEMOCRAT IN 2016 SENATE ELECTION ,PERCENTAGE VOTE FOR A REPUBLICAN IN 2016 SENATE ELECTION ,TOTAL POPULATION RATE (ACS 2014-2018),TOTAL POPULATION MALE (ACS 2014-2018),TOTAL POPULATION FEMALE (ACS 2014-2018),Under 5 Years - AGE RATE (ACS 2014-2018),5 to 9 Years - AGE RATE (ACS 2014-2018),10 to 14 Years - AGE RATE (ACS 2014-2018),15 to 17 Years- AGE RATE (ACS 2014-2018),18 to 24 Years - AGE RATE (ACS 2014-2018),25 to 34 Years- AGE RATE (ACS 2014-2018),35 to 44 Years - AGE RATE (ACS 2014-2018),45 to 54 Years- AGE RATE (ACS 2014-2018),55 to 64 Years - AGE RATE (ACS 2014-2018),65 to 74 Years - AGE RATE (ACS 2014-2018),75 to 84 Years- AGE RATE (ACS 2014-2018),85 Years and Over - AGE RATE (ACS 2014-2018),White Alone - RACE RATE (ACS 2014-2018),Black or African American Alone- RACE RATE (ACS 2014-2018),American Indian and Alaska Native Alone- RACE RATE (ACS 2014-2018),Asian Alone- RACE RATE (ACS 2014-2018),Native Hawaiian and Other Pacific Islander Alone- RACE RATE (ACS 2014-2018),Some Other Race Alone- RACE RATE (ACS 2014-2018),Two or More Races- RACE RATE (ACS 2014-2018),Population 16 Years and Over- EMPLOYMENT RATE (ACS 2014-2018),In Labor Force- EMPLOYMENT RATE (ACS 2014-2018),In Armed Forces- EMPLOYMENT RATE (ACS 2014-2018),Civilian:- EMPLOYMENT RATE (ACS 2014-2018),Employed- MALE EMPLOYMENT RATE (ACS 2014-2018),Unemployed- EMPLOYMENT RATE (ACS 2014-2018),Not in Labor Force- EMPLOYMENT RATE (ACS 2014-2018),Male Population 16 Years and Over- MALE EMPLOYMENT RATE (ACS 2014-2018),In Labor Force:- MALE EMPLOYMENT RATE (ACS 2014-2018),In Armed Forces- MALE EMPLOYMENT RATE (ACS 2014-2018),Civilian:- MALE EMPLOYMENT RATE (ACS 2014-2018),Employed- MALE EMPLOYMENT RATE (ACS 2014-2018),Unemployed- MALE EMPLOYMENT RATE (ACS 2014-2018),Not in Labor Force- MALE EMPLOYMENT RATE (ACS 2014-2018),Female Population 16 Years and Over:- FEMALE EMPLOYMENT RATE (ACS 2014-2018),In Labor Force:- FEMALE EMPLOYMENT RATE (ACS 2014-2018),In Armed Forces- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Civilian:- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Employed- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Unemployed- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Not in Labor Force- FEMALE EMPLOYMENT RATE (ACS 2014-2018),In Labor Force 16 Years and Over: LABOR FORCE RATE (ACS 2014-2018),In Armed Forces: LABOR FORCE RATE (ACS 2014-2018),Civilian: LABOR FORCE RATE (ACS 2014-2018),Civilian Population in Labor Force 16 Years and Over:- LABOR FORCE RATE FOR 16 YEARS AND OVER POPULATION (ACS 2014-2018),Employed- EMPLOYMENT RATE FOR 16 YEARS AND OVER POPULATION (ACS 2014-2018),Unemployed- UNEMPLOYMENT RATE FOR 16 YEARS AND OVER POPULATION (ACS 2014-2018),Households:-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018),"Less than $10,000-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$10,000 to $14,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$15,000 to $19,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$20,000 to $24,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$25,000 to $29,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$30,000 to $34,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$35,000 to $39,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$40,000 to $44,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$45,000 to $49,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$50,000 to $59,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$60,000 to $74,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$75,000 to $99,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$100,000 to $124,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$125,000 to $149,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$150,000 to $199,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$200,000 or More-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",Total: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),No Health Insurance Coverage: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),With Health Insurance Coverage:: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),Public Health Coverage: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),Private Health Insurance: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),Current Smokers (Persons 18 Years and Over),Drinking Adults (Persons 18 Years and Over),Persons with Limited Access to Healthy Foods,Persons with Access to Exercise Opportunities,Obese Persons (20 Years and Over),Physically Inactive Persons (20 Years and Over),Children Eligible for Free Lunch (Persons < 18 Years),Teen Births (Females 15 to 19 Years),Premature Deaths (Less than 75 Years),"Rate of limited-service restaurants per 100,000 people in 2017."
Georgia,Clayton,-84.35594188,33.54187245,82.29,34,2.9,11.1,26,458.1,16.1,862.5,443.63,46.69,79.98,17.19,"278,666","130,748","147,918","21,404","21,852","22,402","12,674","28,212","42,689","37,765","37,062","30,263","16,507","5,820","2,016","47,590","192,765",571,"14,586",127,"15,787","7,240","208,902","138,635",176,"138,459","126,643","11,816","70,267","95,418","65,292",102,"65,190","59,954","5,236","30,126","113,484","73,343",74,"73,269","66,689","6,580","40,141","138,635",176,"138,459","138,459","126,643","11,816","92,845","6,540","4,604","5,771","6,086","5,639","5,935","5,705","5,344","5,079","8,549","10,588","11,165","5,911","2,731","1,844","1,354","275,105","52,863","222,242","95,209","147,002",19.8%,12.6%,14.3%,82.5%,39.5%,26.0%,79.1%,"3,514","2,614",73.56
Georgia,DeKalb,-84.22396017,33.76944049,87.02,33,3.1,10.7,26.7,447.1,16.3,1203.3,479.84,56.28,72.5,23.57,"743,187","351,871","391,316","52,982","49,157","45,920","26,207","65,502","124,266","107,610","99,670","86,302","53,566","22,510","9,495","256,546","401,085","5,661","45,322",269,"13,542","20,762","586,377","405,541",498,"405,043","375,217","29,826","180,836","272,625","198,814",426,"198,388","183,907","14,481","73,811","313,752","206,727",72,"206,655","191,310","15,345","107,025","405,541",498,"405,043","405,043","375,217","29,826","277,757","17,878","10,896","12,330","12,688","13,100","13,762","12,345","12,998","12,319","21,863","27,562","32,432","22,428","15,465","17,005","22,686","737,224","109,283","627,941","215,211","473,194",14.3%,16.6%,8.5%,96.2%,26.5%,21.1%,64.3%,"6,336","6,694",84.9
Georgia,Hancock,-82.99766919,33.2721566,51.79,43.4,4.7,15.9,32.4,357.2,15.3,326.2,352.21,49.51,69.61,28.69,"8,535","5,193","3,342",292,317,389,210,639,"1,291",963,"1,255","1,335","1,119",586,139,"2,094","6,178",0,74,14,122,53,"7,390","2,060",0,"2,060","1,977",83,"5,330","4,501",810,0,810,786,24,"3,691","2,889","1,250",0,"1,250","1,191",59,"1,639","2,060",0,"2,060","2,060","1,977",83,"2,991",282,451,252,137,241,323,51,146,148,118,245,279,170,58,61,29,"5,910",563,"5,347","2,981","3,269",20.9%,11.1%,18.0%,0.2%,36.0%,29.5%,64.2%,85,137,70.3
Georgia,Dougherty,-84.21722377,31.53328528,75.98,37.4,3.9,12.7,28.6,489,17.8,939.9,578.71,50.32,63.67,34.56,"91,049","42,144","48,905","6,151","5,876","6,423","3,651","11,082","12,205","10,553","10,537","11,250","7,876","3,899","1,546","24,556","62,847",194,849,38,"1,064","1,501","71,320","41,238",254,"40,984","35,167","5,817","30,082","31,929","19,238",254,"18,984","16,261","2,723","12,691","39,391","22,000",0,"22,000","18,906","3,094","17,391","41,238",254,"40,984","40,984","35,167","5,817","34,780","4,872","2,710","2,365","2,355","2,317","1,839","1,712","2,135","1,823","2,409","3,001","2,695","1,834",983,955,775,"89,191","15,120","74,071","38,977","45,632",21.0%,11.6%,20.6%,70.7%,37.0%,29.1%,76.7%,"1,838","1,489",109.83
Georgia,Richmond,-82.07026432,33.35777107,77.12,35.1,3.7,12.1,28.1,448.9,18.7,848.4,592.17,49.24,60.03,36.83,"201,463","97,272","104,191","13,750","13,466","12,185","7,512","23,425","32,781","23,232","23,407","25,104","15,958","7,900","2,743","76,073","113,881",515,"3,762",436,"2,137","4,659","159,492","95,644","5,464","90,180","80,890","9,290","63,848","75,982","47,997","4,701","43,296","38,257","5,039","27,985","83,510","47,647",763,"46,884","42,633","4,251","35,863","95,644","5,464","90,180","90,180","80,890","9,290","72,165","8,427","5,221","4,396","4,408","4,483","4,542","4,016","3,623","2,973","5,671","6,454","8,103","4,165","2,411","1,839","1,433","191,547","26,144","165,403","76,947","112,792",20.1%,13.9%,12.5%,62.6%,35.1%,27.9%,71.5%,"2,840","3,150",91.33
Georgia,Fulton,-84.46319413,33.79216944,88.49,31.4,3.1,10.2,26.7,456.3,17.2,1577.9,658,55.41,59.3,36.5,"1,021,902","495,087","526,815","62,272","65,993","63,024","38,983","104,967","170,060","148,149","141,925","113,127","69,519","31,031","12,852","458,596","451,053","3,837","70,225",321,"15,106","22,764","816,772","553,201",704,"552,497","516,732","35,765","263,571","390,923","283,117",621,"282,496","265,573","16,923","107,806","425,849","270,084",83,"270,001","251,159","18,842","155,765","553,201",704,"552,497","552,497","516,732","35,765","400,016","28,334","17,457","16,950","17,161","17,590","15,364","14,362","17,437","14,754","28,443","36,421","41,441","32,795","22,670","27,549","51,288","1,012,378","111,048","901,330","258,649","725,138",14.1%,17.7%,6.4%,90.2%,22.4%,18.7%,51.6%,"8,504","9,627",115.57
Georgia,Clarke,-83.37124007,33.95436462,84.16,24.7,2.7,8,21.8,461.9,20.5,319.8,375.42,44.21,58.94,35.93,"124,602","59,248","65,354","6,777","5,787","6,019","3,071","33,455","20,676","13,922","11,035","11,053","7,650","3,643","1,514","78,342","34,354",168,"5,048",83,"3,320","3,287","105,156","62,979",182,"62,797","58,766","4,031","42,177","49,355","32,313",165,"32,148","29,869","2,279","17,042","55,801","30,666",17,"30,649","28,897","1,752","25,135","62,979",182,"62,797","62,797","58,766","4,031","47,224","6,886","3,521","3,944","3,024","2,648","2,785","2,055","2,412","1,746","3,349","3,139","3,958","3,140","1,610","1,409","1,598","123,752","17,321","106,431","33,069","84,441",20.2%,16.5%,21.4%,84.6%,25.1%,24.6%,76.3%,"1,056","1,007",94.7
Georgia,Rockdale,-84.02202167,33.65145002,84.15,35.6,3.8,11.6,29.7,453.4,17.8,405.8,409.68,57.03,58.48,38.28,"89,011","41,944","47,067","5,245","6,302","6,710","4,306","8,310","9,917","11,429","12,868","11,968","7,689","3,169","1,098","35,556","47,414",112,"1,743",319,"1,512","2,355","69,309","42,579",73,"42,506","39,286","3,220","26,730","31,940","21,315",48,"21,267","19,702","1,565","10,625","37,369","21,264",25,"21,239","19,584","1,655","16,105","42,579",73,"42,506","42,506","39,286","3,220","30,521","1,515","1,306","1,430","1,617","1,532","1,390","1,343","1,566","1,509","2,854","3,300","4,032","2,734","1,870","1,428","1,095","88,195","12,015","76,180","27,259","57,782",16.2%,13.8%,13.3%,87.9%,34.6%,28.0%,57.8%,790,946,98.86
Georgia,Taliaferro,-82.88136816,33.56543317,49.35,45,5.8,17.1,34.1,372.6,16.9,N/A,359.35,68.32,55.51,42.73,"1,665",847,818,58,54,76,54,132,206,223,223,228,232,114,65,568,"1,085",0,8,0,0,4,"1,463",640,0,640,580,60,823,763,384,0,384,337,47,379,700,256,0,256,243,13,444,640,0,640,640,580,60,612,77,31,61,71,43,38,36,34,21,42,54,53,15,30,3,3,"1,665",220,"1,445",828,868,22.5%,9.9%,43.9%,39.3%,34.1%,31.1%,82.5%,27,35,N/A
Georgia,Talbot,-84.53351366,32.69642758,57.48,43.9,5.4,16.5,34,465.5,17.8,411.5,358.05,64.52,55.28,41.42,"6,378","3,032","3,346",257,270,377,214,506,580,662,877,"1,196",884,449,106,"2,622","3,687",2,33,0,9,25,"5,437","2,754",0,"2,754","2,536",218,"2,683","2,551","1,325",0,"1,325","1,277",48,"1,226","2,886","1,429",0,"1,429","1,259",170,"1,457","2,754",0,"2,754","2,754","2,536",218,"2,766",292,244,199,241,130,228,163,190,134,235,251,214,94,32,91,28,"6,361","1,004","5,357","2,710","3,879",18.8%,11.8%,2.6%,1.7%,34.3%,30.8%,78.5%,106,124,N/A
