State,
County,
Longitude,
Lat,
Percent of HOUSEHOLDS WITH INTERNET ACCESS (ACS 2014-2018),
HYPERTIONSION DIAGNOSIS IN ADULTS (2017),No Idea
HEART DISEASE DIAGNOSIS IN ADULTS (2017),No Idea
DIABETES DIAGNOSIS FOR ADULTS (2017),No Idea
HIGH CHOLESTEROL DIAGNOSIS IN ADULTS (2017),No Idea
"CANCER INCIDENCE PER 100,000 PEOPLE (2011-2015)",No Idea
DEPRESSION DIAGNOSIS RATE (2017),No Idea
HIV DIAGNOSIS RATE (2016),No Idea
RELIGIOUS ADHERENCE RATE (2010),No Idea
Percent VOTING AGE POPULATION TURNOUT RATE IN 2016 GENERAL ELECTION,https://results.enr.clarityelections.com/GA/63991/184321/en/reports.html#
PERCENTAGE VOTE FOR A DEMOCRAT IN 2016 GA SENATE ELECTION ,https://results.enr.clarityelections.com/GA/63991/184321/en/reports.html#
PERCENTAGE VOTE FOR A REPUBLICAN IN 2016 GA SENATE ELECTION ,https://results.enr.clarityelections.com/GA/63991/184321/en/reports.html#
TOTAL POPULATION (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
TOTAL POPULATION MALE (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
TOTAL POPULATION FEMALE (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent Under 5 Years  (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 5 to 9 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 10 to 14 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 15 to 17 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 18 to 24 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 25 to 34 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 35 to 44 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 45 to 54 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 55 to 64 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 65 to 74 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 75 to 84 Years (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent 85 Years and Over (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate
Percent White Alone (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - RaceHousing
Percent Black or African American Alone (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - RaceHousing
Percent American Indian and Alaska Native Alone (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - RaceHousing
Percent Asian Alone (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - RaceHousing
Percent Native Hawaiian and Other Pacific Islander Alone (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - RaceHousing
Percent Some Other Race Alone (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - RaceHousing
percent Two or More Races (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - RaceHousing
Column1,
Number of People In Labor Force- (EMPLOYMENT RATE ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Column2,American Community Survey (ACS) - 2018 - 5 Year Estimate
Column3,American Community Survey (ACS) - 2018 - 5 Year Estimate
Column7,American Community Survey (ACS) - 2018 - 5 Year Estimate
UnEMPLOYMENT RATE (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Column4,American Community Survey (ACS) - 2018 - 5 Year Estimate
Male Population 16 Years and Over (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Percent of Males in Labor Force (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Column5,American Community Survey (ACS) - 2018 - 5 Year Estimate
Column6,American Community Survey (ACS) - 2018 - 5 Year Estimate
Percent of Males in Labor Force Employed (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Percent of Males in Labor Force UnEmployed (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Percent of Males Not in Labor Force (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Female Population 16 Years and Over (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Percent of Females in Labor Force (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Column8,American Community Survey (ACS) - 2018 - 5 Year Estimate
Column9,American Community Survey (ACS) - 2018 - 5 Year Estimate
Percent of Females in Labor Force Employed (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Percent of Females in Labor Force UnEmployed (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Percent of Females Not in Labor Force (ACS 2014-2018),American Community Survey (ACS) - 2018 - 5 Year Estimate
Column10,
Column11,
Column12,
Column13,
Column14,
Column15,
Number of Households for  HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making Less than $10,000-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $10,000 to $14,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $15,000 to $19,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $20,000 to $24,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $25,000 to $29,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
